iter	Passed	Remaining
420	4540	62421421	4552	62422422	4562	62423423	4574	62424424	4588	62425425	4600	61426426	4611	61427427	4623	61428428	4637	61429429	4652	61430430	4666	61431431	4678	61432432	4690	61433433	4703	61434434	4719	61435435	4732	61436436	4746	61437437	4758	61438438	4774	61439439	4786	60440440	4799	60441441	4814	60442442	4826	60443443	4838	60444444	4850	60445445	4861	60446446	4874	60447447	4890	60448448	4902	60449449	4912	60450450	4927	59451451	4938	59452452	4953	59453453	4964	59454454	4977	59455455	4990	59456456	5002	59457457	5016	5936
458	5029	5927
459	5044	59460460	5058	59461461	5072	59462462	5086	58463463	5099	58464464	5111	58465465	5121	58466466	5132	5857
467	5142	5846
468	5157	5838
469	5168	5828
470	5178	5815
471	5189	5804
472	5202	5796
473	5220	5793
474	5231	5782
475	5244	5772
476	5255	5762
477	5268	5752
478	5279	5742
479	5288	5729
480	5299	5717
481	5311	5708
482	5320	56483483	5331	5684
484	5342	5673
485	5353	5661
486	5363	5649
487	5374	5639
488	5384	5627
489	5400	5621
490	5419	5617
491	5435	5611
492	5455	5610
493	5468	5600
494	5480	5591
495	5493	5582
496	5510	5577
497	5524	5568
498	5536	5558
499	5551	5551
500	5562	5540
501	5573	5529
502	5586	5520
503	5595	5506
504	5604	5493
505	5613	5480
506	5624	5468
507	5634	5456
508	5647	5447
509	5656	5434
510	5664	5420
511	5674	5408
512	5685	5397
513	5696	5386
514	5708	5375
515	5718	5363
516	5728	5351
517	5739	5340
518	5749	5328
519	5758	5315
520	5770	5304
521	5782	5295
522	5797	5287
523	5810	5278
524	5822	5267
525	5834	5257
526	5859	5258
527	5870	5247
528	5879	5235
529	5891	5224
530	5903	5213
531	5913	5202
532	5922	5189
533	5932	5177
534	5944	5166
535	5954	5154
536	5964	5142
537	5974	5130
538	5983	5117
539	5994	5106
540	6004	5094
541	6015	5082
542	6024	5070
543	6033	5057
544	6042	5044
545	6052	5032
546	6062	5020
547	6072	5008
548	6081	4995
549	6091	4983
550	6101	4972
551	6111	4960
552	6121	4948
553	6131	4935
554	6140	4923
555	6150	4911
556	6159	4899
557	6170	4887
558	6180	4876
559	6190	4864
560	6200	4852
561	6212	4841
562	6223	4831
563	6233	4819
564	6244	4807
565	6257	4797
566	6275	4792
567	6289	4783
568	6301	4773
569	6314	4763
570	6326	4752
571	6340	4744
572	6353	4734
573	6371	4728
574	6388	4721
575	6415	4722
576	6428	4712
577	6454	4712
578	6466	4701
579	6477	4690
580	6492	4682
581	6507	4673
582	6518	4662
583	6530	4651
584	6546	4644
585	6557	4633
586	6567	4620
587	6579	4610
588	6592	4600
589	6605	4590
590	6615	4578
591	6627	4567
592	6638	4556
593	6652	4547
594	6664	4536
595	6674	4524
596	6740	4550
597	6791	4565
598	6804	4555
599	6817	4545
600	6832	4536
601	6851	4529
602	6865	45603603	6883	45604604	6898	4504
605	6913	4494
606	6928	4485
607	6940	4474
608	6953	4464
609	6968	4455
610	6977	4442
611	6989	4431
612	7001	4419
613	7011	4407
614	7022	4395
615	7034	4385
616	7046	4374
617	7057	4362
618	7069	4351
619	7081	4340
620	7092	4328
621	7103	4316
622	7115	4305
623	7126	4294
624	7139	4283
625	7153	4273
626	7163	4261
627	7174	4250
628	7187	4239
629	7196	4226
630	7207	4214
631	7217	4202
632	7228	4191
633	7237	4178
634	7248	4166
635	7260	4155
636	7270	4143
637	7280	4130
638	7289	4118
639	7299	4106
640	7311	4094
641	7320	4081
642	7329	4069
643	7339	4057
644	7350	4045
645	7359	4033
646	7370	4021
647	7379	4008
648	7388	3996
649	7398	3983
650	7407	3971
651	7416	3958
652	7427	3946
653	7437	3934
654	7446	3922
655	7456	3910
656	7466	3897
657	7474	3884
658	7483	3872
659	7492	3859
660	7501	3846
661	7510	3834
662	7520	3822
663	7530	3810
664	7539	3798
665	7548	3785
666	7558	3773
667	7565	3760
668	7575	3748
669	7583	3735
670	7593	3723
671	7602	3710
672	7611	3698
673	7621	3686
674	7631	3674
675	7641	3662
676	7649	3649
677	7659	3637
678	7669	3625
679	7680	3614
680	7695	3604
681	7707	3593
682	7718	3582
683	7728	3570
684	7737	3558
685	7748	3546
686	7758	3534
687	7768	3523
688	7779	3511
689	7791	3500
690	7803	3489
691	7815	3478
692	7825	3466
693	7834	3454
694	7843	3441
695	7851	3429
696	7863	3418
697	7877	3408
698	7891	3398
699	7904	3387
700	7922	3379
701	7931	3367
702	7941	3355
703	7950	3343
704	7959	3330
705	7968	3318
706	7978	3306
707	7988	3294
708	7998	3282
709	8007	3270
710	8016	3258
711	8025	3246
712	8034	3233
713	8044	3222
714	8053	3210
715	8063	3198
716	8073	3186
717	8083	3174
718	8092	3162
719	8101	3150
720	8112	3139
721	8123	3127
722	8134	3116
723	8144	3104
724	8154	3093
725	8164	3081
726	8175	3069
727	8184	3058
728	8194	3046
