iter	Logloss
0	0.6794845244
1	0.6670419046
2	0.6561915958
3	0.6464097669
4	0.6380004445
5	0.6250576174
6	0.6145676007
7	0.608676175
8	0.6012909936
9	0.5945843884
10	0.5810875004
11	0.5768013117
12	0.5726837862
13	0.5694850812
14	0.558947176
15	0.5538818064
16	0.5500516002
17	0.5454270052
18	0.5418807662
19	0.5390377644
20	0.5372561186
21	0.5318666993
22	0.527229808
23	0.5156084051
24	0.5098156063
25	0.5085579989
26	0.5073884972
27	0.5016865879
28	0.494362838
29	0.4845262023
30	0.4831569549
31	0.4818423136
32	0.4701801438
33	0.4593546516
34	0.4452912776
35	0.4402554431
36	0.4326357992
37	0.4280775486
38	0.4238692069
39	0.4227707519
40	0.4163341455
41	0.4091835352
42	0.4017722636
43	0.3969476402
44	0.3960330527
45	0.3874861975
46	0.3833699123
47	0.3823773985
48	0.3785366976
49	0.3764713175
50	0.3709627457
51	0.3689367285
52	0.3682569973
53	0.3648752989
54	0.3642642904
55	0.3627183468
56	0.3599848287
57	0.3581891573
58	0.3575800603
59	0.3570907474
60	0.3552378417
61	0.3542447494
62	0.3532231122
63	0.3497658044
64	0.3487348656
65	0.3480189866
66	0.3473916232
67	0.344404835
68	0.3439350778
69	0.3432899837
70	0.3379294001
71	0.3351405949
72	0.3327260089
73	0.3319036236
74	0.3292009672
75	0.3282390976
76	0.3279262383777	0.3265584213778	0.3258789923
79	0.3241020171880	0.3204784033
81	0.3201555623
82	0.3182758431
83	0.3150477999
84	0.3147938477
85	0.3143178323
86	0.3130544465
87	0.3126838784
88	0.3089011055
89	0.3085183145
90	0.3062886407
91	0.3059027289
92	0.304523872
93	0.3041762561
94	0.3015698175
95	0.3011787014
96	0.300615066
97	0.3000842243
98	0.2980698829
99	0.2975771193
100	0.2965466906
101	0.2953776921
102	0.2939286223
103	0.2910999298
104	0.2896996648
105	0.2877227953
106	0.2873651375
107	0.2861768092
108	0.2837443059
109	0.2834288655
110	0.282625594
111	0.2823494183
112	0.2808464847
113	0.2802800442
114	0.2795233275
115	0.2773491681
116	0.2759470864
