iter	Logloss
0	0.6904144287
1	0.6862211914
2	0.6826162109
3	0.6798005981
4	0.6771408691
5	0.6739560547
6	0.6715845337
7	0.6684494019
8	0.6650366211
9	0.6631837158
10	0.6609105225
11	0.6585402832
12	0.6560249634
13	0.6530186157
14	0.6511642456
15	0.647973938
16	0.6454293823
17	0.6424239502
18	0.6405065308
19	0.6383741455
20	0.636925293
21	0.6347429199
22	0.6316665039
23	0.6295436401
24	0.62755896
25	0.6257976685
26	0.6241020508
27	0.6218071289
28	0.6199145508
29	0.6174284668
30	0.6156236572
31	0.6133200684
32	0.6117315063
33	0.6097163696
34	0.6074278564
35	0.6056015015
36	0.6034530029
37	0.6015874023
38	0.5993560791
39	0.5978168945
40	0.5956098633
41	0.5942791748
42	0.5929355469
43	0.5908806763
44	0.5896060791
45	0.5883143311
46	0.5866153564
47	0.5853585205
48	0.5843848877
49	0.5826787109
50	0.5809321289
51	0.5793538818
52	0.5776491699
53	0.576489624
54	0.5751264648
55	0.573689209
56	0.5722329102
57	0.5708505859
58	0.5698034668
59	0.5685435791
60	0.5667868652
61	0.5652272949
62	0.5636525269
63	0.5622553711
64	0.5609360352
65	0.5597914429
66	0.5579509888
67	0.5565344849
68	0.5550324707
69	0.5539134521
70	0.5528550415
71	0.5520567627
72	0.5508809814
73	0.5495457153
74	0.548281311
75	0.5469823608
76	0.5458947754
77	0.5448763428
78	0.5437188721
79	0.5420498657
80	0.5410883179
81	0.5399749756
82	0.5387564697
83	0.5377873535
84	0.5369019775
85	0.5356882935
86	0.5348586426
87	0.5338825073
88	0.5326966553
89	0.5316047974
90	0.5304714355
91	0.5292575073
92	0.528166626
93	0.5271690674
94	0.5259904785
95	0.5249749756
96	0.5236647949
97	0.5228406982
98	0.5217785645
99	0.5210377197
100	0.519741272
101	0.5184922485
102	0.5173406982
103	0.5163213501
104	0.5151607666
105	0.5141196289
106	0.5132415161
107	0.5119636841
108	0.511471344
109	0.5107321777
110	0.510004364
111	0.5091286316
112	0.5084231262
113	0.5079020386
114	0.5072750854
115	0.5063324585
116	0.5055259705
117	0.5048632202
118	0.5040924072
119	0.503328949
120	0.5025111084
121	0.5019569092
122	0.5012990112
123	0.5003131714
124	0.4994711304
125	0.498802063
126	0.4981637573
127	0.4975486145
128	0.4969354553
129	0.4960998535
130	0.4956217041
131	0.4949214783
132	0.4944271851
133	0.4938081665
134	0.493014801
135	0.4920911255
136	0.4912807312
137	0.4904733276
138	0.4892987671
139	0.4889362793
140	0.4884001465
141	0.4877581177
142	0.4871377258
143	0.4864088135
144	0.4856469116
145	0.4850125427
146	0.4841957397
147	0.4835207214
148	0.4829943848
149	0.482164856
150	0.4814585571
151	0.4808427124
152	0.4801548157
153	0.4794545593
154	0.4784898682
155	0.4777058105
156	0.4770513611
157	0.4763969421
158	0.475741272
159	0.4750368958
160	0.4743549805
161	0.4738818359
162	0.473388855
163	0.4727391357
164	0.4719259033
