iter	Passed	Remaining
417	2387	3324
418	2392	3317
419	2397	3310
420	2402	3304
421	2407	3298
422	2412	3291
423	2418	3284
424	2423	3279
425	2428	3272
426	2434	3266
427	2439	3260
428	2444	3253
429	2449	3246
430	2454	3240
431	2459	3233
432	2464	3227
433	2470	3222
434	2476	3215
435	2481	3209
436	2486	3203
437	2492	3197
438	2497	3191
439	2502	3185
440	2507	3178
441	2512	3172
442	2518	3166
443	2523	3160
444	2528	3153
445	2533	3147
446	2538	3140
447	2542	3132
448	2547	3125
449	2551	3118
450	2556	3111
451	2560	3104
452	2565	3097
453	2569	3090
454	2574	3083
455	2578	3076
456	2583	3069
457	2587	3062
458	2592	3055
459	2597	3048
460	2601	3041
461	2606	3034
462	2610	3028
463	2615	3021
464	2620	3014
465	2625	3008
466	2629	3001
467	2635	2995
468	2640	2989
469	2645	2982
470	2650	2976
471	2655	2970
472	2659	2963
473	2665	2957
474	2670	2951
475	2675	2945
476	2680	2939
477	2685	2932
478	2691	2927
479	2697	2921
480	2702	2915
481	2707	2909
482	2712	2903
483	2717	2896
484	2723	2891
485	2729	2887
486	2735	2882
487	2741	2876
488	2747	2870
489	2753	2865
490	2758	2860
491	2764	2854
492	2769	2848
493	2775	2843
494	2783	2839
495	2790	2835
496	2798	2831
497	2803	2826
498	2810	2822
499	2817	2817
500	2823	2812
501	2831	2809
502	2841	2807
503	2847	2802
504	2854	2798
505	2861	2793
506	2867	2788
507	2873	2783
508	2880	2778
509	2887	2774
510	2894	2769
511	2900	2764
512	2905	2758
513	2912	2753
514	2918	2748
515	2925	2743
516	2931	2738
517	2937	2733
518	2943	2727
519	2948	2722
520	2954	2716
521	2959	2709
522	2964	2703
523	2969	2697
524	2974	2691
525	2981	2686
526	2986	2680
527	2991	2674
528	2996	2668
529	3001	2662
530	3007	2656
531	3012	2650
532	3017	2643
533	3022	2637
534	3027	2630
535	3031	2624
536	3036	2617
537	3040	2611
538	3045	2604
539	3049	2598
540	3054	2591
541	3059	2584
542	3063	2578
543	3067	2571
544	3072	2565
545	3076	2558
546	3081	2552
547	3086	2545
548	3090	2539
549	3095	2532
550	3099	2526
551	3104	2519
552	3108	2512
553	3113	2506
554	3118	2500
555	3123	2494
556	3127	2487
557	3132	2481
558	3137	2474
559	3141	2468
560	3145	2461
561	3149	2454
562	3154	2448
563	3158	2441
564	3162	2434
565	3165	2427
566	3169	2420
567	3173	2414
568	3177	2407
569	3182	2400
570	3187	2394
571	3191	2388
572	3196	2381
573	3201	2375
574	3206	2369
575	3210	2363
576	3214	2356
577	3219	2350
578	3224	2344
579	3228	2338
580	3234	2332
581	3239	2326
582	3244	2320
583	3248	2314
584	3253	2308
585	3258	2302
586	3266	2298
587	3273	2293
588	3279	2288
589	3284	2282
590	3289	2276
591	3294	2270
592	3298	2263
593	3302	2257
594	3306	2250
595	3311	2244
596	3314	2237
597	3318	2231
598	3322	2224
599	3327	2218
600	3330	2211
601	3334	2204
602	3340	2199
603	3344	2192
604	3348	2186
605	3352	2179
606	3356	2173
607	3360	2166
608	3364	2160
609	3368	2153
610	3373	2147
611	3377	2141
612	3381	2134
613	3385	2128
614	3388	2121
615	3392	2114
616	3396	2108
617	3400	2102
618	3404	2095
619	3408	2089
620	3412	2082
621	3416	2076
622	3420	2069
623	3424	2063
624	3428	2057
625	3432	2050
626	3436	2044
627	3440	2037
628	3444	2031
629	3448	2025
630	3452	2018
631	3456	2012
632	3460	2006
633	3464	1999
634	3468	1993
635	3472	1987
636	3476	1980
637	3480	1974
638	3484	1968
639	3488	1962
640	3492	1956
641	3497	1950
642	3501	1944
643	3506	1938
644	3511	1932
645	3516	1927
646	3521	1921
647	3526	1915
648	3530	1909
649	3535	1903
650	3540	1898
651	3545	1892
652	3550	1886
653	3554	1880
654	3559	1874
655	3564	1869
656	3570	1864
657	3576	1858
658	3581	1853
659	3586	1847
660	3593	1843
661	3599	1837
662	3603	1831
663	3608	1826
664	3614	1820
665	3620	1815
666	3626	1810
667	3633	1805
668	3639	1800
669	3645	1795
670	3651	1790
671	3657	1785
672	3663	1779
673	3669	1774
674	3675	1769
675	3680	1764
676	3687	1759
677	3693	1753
678	3699	1748
679	3705	1743
680	3711	1738
681	3718	1733
682	3724	1728
683	3729	1723
684	3735	1717
685	3741	1712
686	3746	1706
687	3751	1701
688	3756	1695
689	3761	1690
690	3766	1684
691	3771	1678
692	3777	1673
693	3782	1667
694	3787	1662
695	3792	1656
696	3796	1650
697	3802	1645
698	3806	1639
699	3811	1633
700	3816	1627
701	3821	1622
702	3826	1616
703	3830	1610
704	3836	1605
705	3841	1599
706	3846	1594
707	3851	1588
708	3856	1582
709	3861	1577
710	3866	1571
711	3872	1566
712	3877	1560
713	3882	1555
714	3888	1549
715	3893	1544
716	3898	1538
717	3904	1533
718	3908	1527
719	3913	1522
720	3920	1516
721	3926	1511
722	3931	1506
723	3936	1500
724	3941	1494
725	3946	1489
726	3951	1483
727	3956	1478
728	3960	1472
729	3965	1466
730	3970	1461
731	3976	1455
732	3981	1450
733	3985	1444
734	3989	1438
735	3994	1432
736	3998	1426
737	4002	1420
738	4005	1414
739	4009	1408
740	4013	1402
741	4017	1396
742	4021	1391
743	4025	1385
744	4030	1379
745	4034	1373
746	4038	1367
747	4043	1362
748	4047	1356
749	4052	1350
750	4056	1345
751	4061	1339
752	4066	1333
753	4070	1328
754	4075	1322
755	4079	1316
756	4084	1311
757	4088	1305
758	4093	1299
759	4097	1293
760	4102	1288
761	4106	1282
762	4111	1277
763	4116	1271
764	4121	1265
765	4125	1260
766	4129	1254
767	4134	1248
768	4138	1243
769	4143	1237
770	4147	1232
771	4152	1226
772	4156	1220
773	4161	1215
774	4165	1209
775	4170	1203
776	4174	1198
777	4179	1192
778	4183	1186
779	4188	1181
780	4193	1175
781	4197	1170
782	4202	1164
783	4206	1158
784	4211	1153
785	4215	1147
786	4219	1142
787	4224	1136
788	4228	1130
789	4233	1125
790	4237	1119
791	4242	1114
792	4246	1108
793	4251	1103
794	4255	1097
795	4260	1091
796	4264	1086
797	4269	1080
798	4273	1075
799	4278	1069
800	4282	1063
801	4286	1058
802	4291	1052
803	4296	1047
804	4300	1041
805	4304	1036
806	4309	1030
807	4313	1025
808	4318	1019
